"","Species","SpeciesID","Week","Weight_g","Porometer","PercentBrown","Dead"
"1314","PIED","PIED30","6.5",NA,NA,10,"alive"
"1315","PIED","PIED30","7.0",567,222.6,10,"alive"
"1316","PIED","PIED30","7.5",NA,NA,10,"alive"
"1317","PIED","PIED30","8.0",479,115.1,10,"alive"
"1318","PIED","PIED30","8.5",NA,NA,10,"alive"
"1319","PIED","PIED30","9.0",458,48.2,10,"alive"
"1320","PIED","PIED30","9.5",NA,NA,NA,"alive"
"1321","PIED","PIED31","1.0",808,110,10,"alive"
"1322","PIED","PIED31","1.5",NA,NA,10,"alive"
"1323","PIED","PIED31","10.0",446,52.4,10,"alive"
"1324","PIED","PIED31","10.5",NA,NA,25,"alive"
"1325","PIED","PIED31","11.0",436,56.6,25,"alive"
"1326","PIED","PIED31","11.5",NA,NA,25,"alive"
"1327","PIED","PIED31","12.0",428,57.9,25,"alive"
"1328","PIED","PIED31","12.5",NA,NA,50,"alive"
"1329","PIED","PIED31","13.0",420,51.9,50,"alive"
"1330","PIED","PIED31","13.5",NA,NA,75,"alive"
"1331","PIED","PIED31","14.0",414,69.7,75,"alive"
"1332","PIED","PIED31","14.5",NA,NA,50,"alive"
"1333","PIED","PIED31","15.0",411,62.8,75,"alive"
"1334","PIED","PIED31","15.5",NA,NA,75,"alive"
"1335","PIED","PIED31","16.0",409,63.6,75,"alive"
"1336","PIED","PIED31","16.5",NA,NA,75,"dead"
"1337","PIED","PIED31","17.0",408,94.2,75,"dead"
"1338","PIED","PIED31","17.5",NA,NA,75,"dead"
"1339","PIED","PIED31","18.0",NA,NA,NA,"dead"
"1340","PIED","PIED31","18.5",NA,NA,90,"dead"
"1341","PIED","PIED31","19.0",NA,NA,90,"dead"
"1342","PIED","PIED31","19.5",NA,NA,90,"dead"
"1343","PIED","PIED31","2.0",778,109.2,10,"alive"
"1344","PIED","PIED31","2.5",NA,NA,10,"alive"
"1345","PIED","PIED31","20.0",NA,NA,90,"dead"
"1346","PIED","PIED31","20.5",NA,NA,NA,"dead"
"1347","PIED","PIED31","21.0",NA,NA,NA,"dead"
"1348","PIED","PIED31","21.5",NA,NA,NA,"dead"
"1349","PIED","PIED31","22.0",NA,NA,NA,"dead"
"1350","PIED","PIED31","22.5",NA,NA,NA,"dead"
"1351","PIED","PIED31","3.0",738,149,10,"alive"
"1352","PIED","PIED31","3.5",NA,NA,10,"alive"
"1353","PIED","PIED31","4.0",692,148.7,10,"alive"
"1354","PIED","PIED31","4.5",NA,NA,10,"alive"
"1355","PIED","PIED31","5.0",635,104,10,"alive"
"1356","PIED","PIED31","5.5",NA,NA,10,"alive"
"1357","PIED","PIED31","6.0",601,88.2,10,"alive"
"1358","PIED","PIED31","6.5",NA,NA,10,"alive"
"1359","PIED","PIED31","7.0",565,65.3,10,"alive"
"1360","PIED","PIED31","7.5",NA,NA,10,"alive"
"1361","PIED","PIED31","8.0",474,50.6,10,"alive"
