Phase,Chamber,ScientificName,CommonName,Species,SpeciesID,Treatment_temp,Treatment_water,PorometerSubset,SampleSize_Weekly_Weight,BasalDia_mm,Height_mm,Whorls,Biomass_g,Week,Weight_g,Porometer,PercentBrown,Dead,Dead_Count,Heatwave_graph,Heatwave,WeightMin,WeightMax,Weight_Est,WaterWeight_Base,WaterWeight_Calc,PercentWater,SD_Weight_Total,SD_Weight_Water,Stress_to_Dead_Weight,Stress_Week_Weight,Stress_Week_Avg_Weight
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,11,565,91.6,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,565,NA,NA,NA,36.5472297171756,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,12,472,234.2,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,472,NA,NA,NA,33.9529085646576,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,13,521,172.8,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,521,NA,NA,NA,29.8914703552702,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,14,417,276,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,417,NA,NA,NA,35.3652371687226,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,15,453,150.7,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,453,NA,NA,NA,44.0488365340107,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,16,383,104.3,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,383,NA,NA,NA,46.2839064902694,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,17,402,167.5,25,alive,0,Pinyon Pine_heatwave,yes,NA,NA,402,NA,NA,NA,42.6110314355332,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,0,7.04,326,4,NA,18,NA,70.7,NA,alive,0,Pinyon Pine_heatwave,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,4,7.04,326,4,NA,19,NA,NA,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,NA,NA,NA,NA,23.7276210354093,NA,NA,NA,3.79323880382056
1,1,Pinus edulis,Pinyon Pine,PIED,PIED17,Ambient_HW,Watered,yes,5,7.04,326,4,NA,20,378,NA,10,alive,0,Pinyon Pine_heatwave,yes,NA,NA,378,NA,NA,NA,45.2249930901045,NA,NA,NA,3.79323880382056
