ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,PercentBrown_Est
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Drought,2,10,30
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient,Watered,0,0,16
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Drought,2,10,49
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,25.5,Ambient_HW,Watered,0,0,13
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
Pinus flexilis,Limber Pine,PIFL,26,Ambient,Drought,2,10,32
