ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Weight_Est,WeightMin,WeightMax,WaterWeight_Base,WaterWeight_Calc,PercentWater
Pinus flexilis,Limber Pine,PIFL,3,Ambient_HW,Watered,0,0,683,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,4,Ambient,Drought,0,0,737,365,759,394,372,94
Pinus flexilis,Limber Pine,PIFL,4,Ambient,Watered,0,0,764,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,4,Ambient_HW,Drought,0,0,688,348,706,358,339,95
Pinus flexilis,Limber Pine,PIFL,4,Ambient_HW,Watered,0,0,673,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,5,Ambient,Drought,0,0,729,365,759,394,364,92
Pinus flexilis,Limber Pine,PIFL,5,Ambient,Watered,0,0,766,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,5,Ambient_HW,Drought,0,0,682,348,706,358,334,93
Pinus flexilis,Limber Pine,PIFL,5,Ambient_HW,Watered,0,0,679,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,6,Ambient,Drought,0,0,718,365,759,394,353,90
Pinus flexilis,Limber Pine,PIFL,6,Ambient,Watered,0,0,747,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,6,Ambient_HW,Drought,0,0,667,348,706,358,319,89
Pinus flexilis,Limber Pine,PIFL,6,Ambient_HW,Watered,0,0,667,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,7,Ambient,Drought,0,0,706,365,759,394,341,87
Pinus flexilis,Limber Pine,PIFL,7,Ambient,Watered,0,0,764,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,7,Ambient_HW,Drought,0,0,660,348,706,358,312,87
Pinus flexilis,Limber Pine,PIFL,7,Ambient_HW,Watered,0,0,673,NA,NA,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,8,Ambient,Drought,0,0,680,365,759,394,315,80
