ScientificName,CommonName,Species,Week,Treatment_temp,Treatment_water,Dead_Count,PercentDead,Porometer_Est,Temperature_C,LeafSensor_PercentRH,FilterSensor_PercentRH
Picea engelmannii,Engelman Spruce,PIEN,21,Ambient_HW,Watered,0,0,73.4666666666667,20.1666666666667,22.5333333333333,10.0333333333333
Picea engelmannii,Engelman Spruce,PIEN,22,Ambient,Drought,10,50,20.94,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,22,Ambient,Watered,0,0,82.4333333333333,18.5,22.4,10.0333333333333
Picea engelmannii,Engelman Spruce,PIEN,22,Ambient_HW,Drought,10,50,21.73,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,22,Ambient_HW,Watered,0,0,89.2666666666667,18.2,23.4,10.4
Picea engelmannii,Engelman Spruce,PIEN,23,Ambient,Drought,10,50,4,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,23,Ambient,Watered,0,0,83.0333333333333,21.4,22.2333333333333,10.0666666666667
Picea engelmannii,Engelman Spruce,PIEN,23,Ambient_HW,Drought,10,50,0,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,23,Ambient_HW,Watered,0,0,83.5333333333333,21.2666666666667,22.4666666666667,10.1333333333333
Picea engelmannii,Engelman Spruce,PIEN,24,Ambient,Drought,10,50,0,NA,NA,NA
Picea engelmannii,Engelman Spruce,PIEN,24,Ambient_HW,Drought,10,50,0,NA,NA,NA
Pinus flexilis,Limber Pine,PIFL,1,Ambient,Drought,0,0,222.46,25.01,43.63,19.42
Pinus flexilis,Limber Pine,PIFL,1,Ambient,Watered,0,0,205.9,24.3666666666667,42.7666666666667,19
Pinus flexilis,Limber Pine,PIFL,1,Ambient_HW,Drought,0,0,232.81,24.92,44.2,19.59
Pinus flexilis,Limber Pine,PIFL,1,Ambient_HW,Watered,0,0,234.3,24.5,44.4666666666667,19.7
Pinus flexilis,Limber Pine,PIFL,2,Ambient,Drought,0,0,258.74,25.75,47.2,21.8
Pinus flexilis,Limber Pine,PIFL,2,Ambient_HW,Drought,0,0,279.36,25.34,48.63,22.27
Pinus flexilis,Limber Pine,PIFL,3,Ambient,Drought,0,0,276.74,23.84,46.66,20.52
Pinus flexilis,Limber Pine,PIFL,3,Ambient,Watered,0,0,265.933333333333,23.9333333333333,46.0666666666667,20.3666666666667
Pinus flexilis,Limber Pine,PIFL,3,Ambient_HW,Drought,0,0,267.02,23.84,46.84,20.71
Pinus flexilis,Limber Pine,PIFL,3,Ambient_HW,Watered,0,0,349.933333333333,23.5666666666667,50.7333333333333,22.3
Pinus flexilis,Limber Pine,PIFL,4,Ambient,Drought,0,0,250.27,23.63,43.86,19.36
Pinus flexilis,Limber Pine,PIFL,4,Ambient,Watered,0,0,258.9,22.2,44.3,19.2333333333333
Pinus flexilis,Limber Pine,PIFL,4,Ambient_HW,Drought,0,0,267.09,23.67,45.32,19.81
Pinus flexilis,Limber Pine,PIFL,4,Ambient_HW,Watered,0,0,334.9,23.9333333333333,49.0666666666667,21.6666666666667
Pinus flexilis,Limber Pine,PIFL,5,Ambient,Drought,0,0,151.01,25.06,34.92,16.22
Pinus flexilis,Limber Pine,PIFL,5,Ambient,Watered,0,0,243.266666666667,25.1333333333333,40.3333333333333,18.6333333333333
Pinus flexilis,Limber Pine,PIFL,5,Ambient_HW,Drought,0,0,155.3,24.93,35.48,16.35
Pinus flexilis,Limber Pine,PIFL,5,Ambient_HW,Watered,0,0,206.8,25.0666666666667,39.4,17.9666666666667
Pinus flexilis,Limber Pine,PIFL,6,Ambient,Drought,0,0,97.44,22.52,25.81,11.29
