Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
PIFL,PIFL15,22,327,25,10,alive
PIFL,PIFL15,22.5,NA,NA,10,alive
PIFL,PIFL15,23,322,24.3,10,alive
PIFL,PIFL15,23.5,NA,NA,25,alive
PIFL,PIFL15,24,322,51.8,50,alive
PIFL,PIFL15,24.5,NA,NA,50,alive
PIFL,PIFL15,25,322,68.7,50,alive
PIFL,PIFL15,25.5,NA,NA,75,alive
PIFL,PIFL15,26,322,51.2,75,alive
PIFL,PIFL15,26.5,NA,NA,50,alive
PIFL,PIFL15,27,321,60.5,75,dead
PIFL,PIFL15,27.5,NA,NA,75,dead
PIFL,PIFL15,28,320,29,90,dead
PIFL,PIFL15,28.5,NA,NA,90,dead
PIFL,PIFL15,29,320,46.1,90,dead
PIFL,PIFL15,29.5,NA,NA,NA,dead
PIFL,PIFL15,3,657,277.1,10,alive
PIFL,PIFL15,3.5,NA,NA,10,alive
PIFL,PIFL15,30,NA,NA,NA,dead
PIFL,PIFL15,30.5,NA,NA,NA,dead
PIFL,PIFL15,31,NA,NA,NA,dead
PIFL,PIFL15,31.5,NA,NA,NA,dead
PIFL,PIFL15,32,NA,NA,NA,dead
PIFL,PIFL15,32.5,NA,NA,NA,dead
PIFL,PIFL15,33,NA,NA,NA,dead
PIFL,PIFL15,33.5,NA,NA,NA,dead
PIFL,PIFL15,34,NA,NA,NA,dead
PIFL,PIFL15,34.5,NA,NA,NA,dead
PIFL,PIFL15,35,NA,NA,NA,dead
PIFL,PIFL15,35.5,NA,NA,NA,dead
PIFL,PIFL15,36,NA,NA,NA,dead
PIFL,PIFL15,4,653,258.6,10,alive
PIFL,PIFL15,4.5,NA,NA,10,alive
PIFL,PIFL15,5,650,176.7,10,alive
PIFL,PIFL15,5.5,NA,NA,10,alive
PIFL,PIFL15,6,637,191.6,10,alive
PIFL,PIFL15,6.5,NA,NA,10,alive
PIFL,PIFL15,7,632,141.2,10,alive
PIFL,PIFL15,7.5,NA,NA,NA,alive
PIFL,PIFL15,8,562,158.8,10,alive
PIFL,PIFL15,8.5,NA,NA,10,alive
PIFL,PIFL15,9,528,235.5,10,alive
PIFL,PIFL15,9.5,NA,NA,10,alive
PIFL,PIFL16,1,680,NA,25,alive
PIFL,PIFL16,1.5,NA,NA,25,alive
PIFL,PIFL16,10,543,NA,75,dead
PIFL,PIFL16,10.5,NA,NA,75,dead
PIFL,PIFL16,11,515,NA,75,dead
PIFL,PIFL16,11.5,NA,NA,75,dead
PIFL,PIFL16,12,495,NA,75,dead
PIFL,PIFL16,12.5,NA,NA,NA,dead
PIFL,PIFL16,13,NA,NA,NA,dead
PIFL,PIFL16,13.5,NA,NA,NA,dead
PIFL,PIFL16,14,NA,NA,NA,dead
PIFL,PIFL16,14.5,NA,NA,NA,dead
PIFL,PIFL16,15,NA,NA,NA,dead
PIFL,PIFL16,15.5,NA,NA,NA,dead
PIFL,PIFL16,16,NA,NA,NA,dead
PIFL,PIFL16,16.5,NA,NA,NA,dead
PIFL,PIFL16,17,NA,NA,NA,dead
PIFL,PIFL16,17.5,NA,NA,NA,dead
PIFL,PIFL16,18,NA,NA,NA,dead
PIFL,PIFL16,18.5,NA,NA,NA,dead
PIFL,PIFL16,19,NA,NA,NA,dead
PIFL,PIFL16,19.5,NA,NA,NA,dead
PIFL,PIFL16,2,674,NA,25,alive
PIFL,PIFL16,2.5,NA,NA,25,alive
PIFL,PIFL16,20,NA,NA,NA,dead
PIFL,PIFL16,20.5,NA,NA,NA,dead
PIFL,PIFL16,21,NA,NA,NA,dead
PIFL,PIFL16,21.5,NA,NA,NA,dead
PIFL,PIFL16,22,NA,NA,NA,dead
PIFL,PIFL16,22.5,NA,NA,NA,dead
PIFL,PIFL16,23,NA,NA,NA,dead
PIFL,PIFL16,23.5,NA,NA,NA,dead
PIFL,PIFL16,24,NA,NA,NA,dead
PIFL,PIFL16,24.5,NA,NA,NA,dead
PIFL,PIFL16,25,NA,NA,NA,dead
PIFL,PIFL16,25.5,NA,NA,NA,dead
PIFL,PIFL16,26,NA,NA,NA,dead
PIFL,PIFL16,26.5,NA,NA,NA,dead
PIFL,PIFL16,27,NA,NA,NA,dead
PIFL,PIFL16,27.5,NA,NA,NA,dead
PIFL,PIFL16,28,NA,NA,NA,dead
PIFL,PIFL16,28.5,NA,NA,NA,dead
PIFL,PIFL16,29,NA,NA,NA,dead
PIFL,PIFL16,29.5,NA,NA,NA,dead
PIFL,PIFL16,3,667,NA,50,alive
PIFL,PIFL16,3.5,NA,NA,50,alive
PIFL,PIFL16,30,NA,NA,NA,dead
PIFL,PIFL16,30.5,NA,NA,NA,dead
PIFL,PIFL16,31,NA,NA,NA,dead
PIFL,PIFL16,31.5,NA,NA,NA,dead
PIFL,PIFL16,32,NA,NA,NA,dead
PIFL,PIFL16,32.5,NA,NA,NA,dead
PIFL,PIFL16,33,NA,NA,NA,dead
PIFL,PIFL16,33.5,NA,NA,NA,dead
PIFL,PIFL16,34,NA,NA,NA,dead
PIFL,PIFL16,34.5,NA,NA,NA,dead
PIFL,PIFL16,35,NA,NA,NA,dead
PIFL,PIFL16,35.5,NA,NA,NA,dead
PIFL,PIFL16,36,NA,NA,NA,dead
PIFL,PIFL16,4,667,NA,50,alive
PIFL,PIFL16,4.5,NA,NA,75,alive
PIFL,PIFL16,5,662,NA,50,alive
PIFL,PIFL16,5.5,NA,NA,75,alive
PIFL,PIFL16,6,646,NA,75,alive
PIFL,PIFL16,6.5,NA,NA,75,alive
PIFL,PIFL16,7,641,NA,75,alive
PIFL,PIFL16,7.5,NA,NA,NA,NA
PIFL,PIFL16,8,572,NA,75,dead
PIFL,PIFL16,8.5,NA,NA,75,dead
PIFL,PIFL16,9,557,NA,75,dead
PIFL,PIFL16,9.5,NA,NA,75,dead
PIFL,PIFL17,1,649,NA,10,alive
PIFL,PIFL17,1.5,NA,NA,10,alive
PIFL,PIFL17,10,453,NA,10,alive
PIFL,PIFL17,10.5,NA,NA,10,alive
PIFL,PIFL17,11,417,NA,10,alive
PIFL,PIFL17,11.5,NA,NA,10,alive
PIFL,PIFL17,12,387,NA,10,alive
PIFL,PIFL17,12.5,NA,NA,10,alive
PIFL,PIFL17,13,361,NA,10,alive
PIFL,PIFL17,13.5,NA,NA,10,alive
PIFL,PIFL17,14,345,NA,10,alive
PIFL,PIFL17,14.5,NA,NA,10,alive
PIFL,PIFL17,15,338,NA,10,alive
PIFL,PIFL17,15.5,NA,NA,10,alive
PIFL,PIFL17,16,NA,NA,NA,alive
PIFL,PIFL17,16.5,NA,NA,10,alive
PIFL,PIFL17,17,332,NA,10,alive
PIFL,PIFL17,17.5,NA,NA,10,alive
PIFL,PIFL17,18,325,NA,10,alive
PIFL,PIFL17,18.5,NA,NA,10,alive
PIFL,PIFL17,19,320,NA,10,alive
PIFL,PIFL17,19.5,NA,NA,10,alive
PIFL,PIFL17,2,642,NA,10,alive
PIFL,PIFL17,2.5,NA,NA,10,alive
PIFL,PIFL17,20,314,NA,10,alive
PIFL,PIFL17,20.5,NA,NA,10,alive
PIFL,PIFL17,21,311,NA,10,alive
PIFL,PIFL17,21.5,NA,NA,10,alive
PIFL,PIFL17,22,308,NA,10,alive
PIFL,PIFL17,22.5,NA,NA,10,alive
PIFL,PIFL17,23,308,NA,10,alive
PIFL,PIFL17,23.5,NA,NA,25,alive
PIFL,PIFL17,24,308,NA,50,alive
PIFL,PIFL17,24.5,NA,NA,50,alive
PIFL,PIFL17,25,308,NA,25,alive
PIFL,PIFL17,25.5,NA,NA,50,alive
PIFL,PIFL17,26,308,NA,50,alive
PIFL,PIFL17,26.5,NA,NA,50,alive
PIFL,PIFL17,27,307,NA,50,dead
PIFL,PIFL17,27.5,NA,NA,50,dead
PIFL,PIFL17,28,306,NA,50,dead
PIFL,PIFL17,28.5,NA,NA,50,dead
PIFL,PIFL17,29,306,NA,75,dead
PIFL,PIFL17,29.5,NA,NA,NA,dead
PIFL,PIFL17,3,631,NA,10,alive
PIFL,PIFL17,3.5,NA,NA,10,alive
PIFL,PIFL17,30,NA,NA,NA,dead
PIFL,PIFL17,30.5,NA,NA,NA,dead
PIFL,PIFL17,31,NA,NA,NA,dead
PIFL,PIFL17,31.5,NA,NA,NA,dead
PIFL,PIFL17,32,NA,NA,NA,dead
PIFL,PIFL17,32.5,NA,NA,NA,dead
PIFL,PIFL17,33,NA,NA,NA,dead
PIFL,PIFL17,33.5,NA,NA,NA,dead
PIFL,PIFL17,34,NA,NA,NA,dead
PIFL,PIFL17,34.5,NA,NA,NA,dead
PIFL,PIFL17,35,NA,NA,NA,dead
PIFL,PIFL17,35.5,NA,NA,NA,dead
PIFL,PIFL17,36,NA,NA,NA,dead
PIFL,PIFL17,4,630,NA,10,alive
PIFL,PIFL17,4.5,NA,NA,10,alive
PIFL,PIFL17,5,623,NA,10,alive
PIFL,PIFL17,5.5,NA,NA,10,alive
PIFL,PIFL17,6,606,NA,10,alive
PIFL,PIFL17,6.5,NA,NA,10,alive
PIFL,PIFL17,7,598,NA,10,alive
PIFL,PIFL17,7.5,NA,NA,NA,alive
PIFL,PIFL17,8,509,NA,10,alive
PIFL,PIFL17,8.5,NA,NA,10,alive
PIFL,PIFL17,9,479,NA,10,alive
PIFL,PIFL17,9.5,NA,NA,10,alive
PIFL,PIFL18,1,743,NA,10,alive
PIFL,PIFL18,1.5,NA,NA,10,alive
PIFL,PIFL18,10,548,NA,10,alive
PIFL,PIFL18,10.5,NA,NA,10,alive
PIFL,PIFL18,11,512,NA,10,alive
PIFL,PIFL18,11.5,NA,NA,10,alive
PIFL,PIFL18,12,484,NA,10,alive
PIFL,PIFL18,12.5,NA,NA,10,alive
PIFL,PIFL18,13,467,NA,10,alive
PIFL,PIFL18,13.5,NA,NA,10,alive
PIFL,PIFL18,14,448,NA,10,alive
PIFL,PIFL18,14.5,NA,NA,25,alive
PIFL,PIFL18,15,435,NA,10,alive
PIFL,PIFL18,15.5,NA,NA,25,alive
PIFL,PIFL18,16,NA,NA,NA,alive
PIFL,PIFL18,16.5,NA,NA,25,alive
PIFL,PIFL18,17,420,NA,25,alive
PIFL,PIFL18,17.5,NA,NA,50,alive
PIFL,PIFL18,18,411,NA,50,alive
PIFL,PIFL18,18.5,NA,NA,10,alive
PIFL,PIFL18,19,406,NA,10,alive
PIFL,PIFL18,19.5,NA,NA,25,alive
PIFL,PIFL18,2,734,NA,10,alive
PIFL,PIFL18,2.5,NA,NA,10,alive
PIFL,PIFL18,20,400,NA,25,alive
PIFL,PIFL18,20.5,NA,NA,10,alive
PIFL,PIFL18,21,393,NA,10,alive
PIFL,PIFL18,21.5,NA,NA,25,alive
PIFL,PIFL18,22,386,NA,25,alive
PIFL,PIFL18,22.5,NA,NA,25,alive
PIFL,PIFL18,23,379,NA,25,alive
PIFL,PIFL18,23.5,NA,NA,25,alive
PIFL,PIFL18,24,373,NA,25,alive
PIFL,PIFL18,24.5,NA,NA,50,alive
PIFL,PIFL18,25,372,NA,25,alive
PIFL,PIFL18,25.5,NA,NA,25,alive
PIFL,PIFL18,26,372,NA,25,alive
PIFL,PIFL18,26.5,NA,NA,25,alive
PIFL,PIFL18,27,370,NA,50,alive
PIFL,PIFL18,27.5,NA,NA,25,alive
PIFL,PIFL18,28,369,NA,50,alive
PIFL,PIFL18,28.5,NA,NA,50,alive
PIFL,PIFL18,29,369,NA,75,alive
PIFL,PIFL18,29.5,NA,NA,75,alive
PIFL,PIFL18,3,721,NA,10,alive
PIFL,PIFL18,3.5,NA,NA,10,alive
PIFL,PIFL18,30,370,NA,75,alive
PIFL,PIFL18,30.5,NA,NA,90,dead
PIFL,PIFL18,31,369,NA,90,dead
PIFL,PIFL18,31.5,NA,NA,90,dead
PIFL,PIFL18,32,368,NA,90,dead
PIFL,PIFL18,32.5,NA,NA,90,dead
PIFL,PIFL18,33,367,NA,90,dead
PIFL,PIFL18,33.5,NA,NA,NA,dead
PIFL,PIFL18,34,NA,NA,NA,dead
PIFL,PIFL18,34.5,NA,NA,NA,dead
PIFL,PIFL18,35,NA,NA,NA,dead
PIFL,PIFL18,35.5,NA,NA,NA,dead
PIFL,PIFL18,36,NA,NA,NA,dead
PIFL,PIFL18,4,720,NA,10,alive
PIFL,PIFL18,4.5,NA,NA,10,alive
PIFL,PIFL18,5,713,NA,10,alive
PIFL,PIFL18,5.5,NA,NA,10,alive
PIFL,PIFL18,6,697,NA,10,alive
PIFL,PIFL18,6.5,NA,NA,10,alive
PIFL,PIFL18,7,691,NA,25,alive
PIFL,PIFL18,7.5,NA,NA,NA,alive
PIFL,PIFL18,8,595,NA,10,alive
PIFL,PIFL18,8.5,NA,NA,10,alive
